Name,Year,Watched Date,Rating,Is_Rewatch,Is_Liked,Has_Review,Film_URL
Together,2025,Aug 2025 28,3.0,No,No,Yes,/film/together-2025/
Plus One,2019,Aug 2025 23,3.5,No,No,Yes,/film/plus-one-2019/
A Minecraft Movie,2025,Aug 2025 21,3.0,No,No,No,/film/a-minecraft-movie/
The Bad Guys 2,2025,Aug 2025 21,3.5,No,No,Yes,/film/the-bad-guys-2/
The Map That Leads to You,2025,Aug 2025 21,3.0,No,No,Yes,/film/the-map-that-leads-to-you/
Weapons,2025,Aug 2025 20,4.0,No,Yes,Yes,/film/weapons-2025/
Chungking Express,1994,Aug 2025 18,3.0,No,No,No,/film/chungking-express/
The Life of Chuck,2024,Aug 2025 18,3.5,No,No,No,/film/the-life-of-chuck/
Bring Her Back,2025,Aug 2025 12,4.0,No,No,No,/film/bring-her-back/
Materialists,2025,Aug 2025 12,2.5,No,No,Yes,/film/materialists/
My Oxford Year,2025,Aug 2025 01,3.0,No,No,Yes,/film/my-oxford-year/
The Naked Gun,2025,Jul 2025 31,3.0,No,No,Yes,/film/the-naked-gun/
The Fantastic Four: First Steps,2025,Jul 2025 23,3.5,No,No,Yes,/film/the-fantastic-four-first-steps/
I Know What You Did Last Summer,2025,Jul 2025 18,2.5,No,No,Yes,/film/i-know-what-you-did-last-summer-2025/
Superman,2025,Jul 2025 10,4.5,No,No,Yes,/film/superman-2025/
Jurassic World Rebirth,2025,Jul 2025 03,2.5,No,No,Yes,/film/jurassic-world-rebirth/
Companion,2025,Jun 2025 29,3.5,No,No,No,/film/companion-2025/
Clown in a Cornfield,2025,Jun 2025 29,2.5,No,No,Yes,/film/clown-in-a-cornfield/
F1,2025,Jun 2025 26,3.5,No,No,Yes,/film/f1/
The Judge,2014,Jun 2025 25,3.0,No,No,No,/film/the-judge-2014/
The Devil Wears Prada,2006,Jun 2025 25,4.0,No,No,Yes,/film/the-devil-wears-prada/
KPop Demon Hunters,2025,Jun 2025 25,2.0,No,No,Yes,/film/kpop-demon-hunters/
Forgetting Sarah Marshall,2008,Jun 2025 22,3.0,No,No,No,/film/forgetting-sarah-marshall/
28 Days Later,2002,Jun 2025 19,3.0,No,No,No,/film/28-days-later/
28 Years Later,2025,Jun 2025 19,4.0,No,No,Yes,/film/28-years-later/
Mickey 17,2025,Jun 2025 16,4.0,No,No,Yes,/film/mickey-17/
Echo Valley,2025,Jun 2025 13,2.0,No,No,No,/film/echo-valley/
How to Train Your Dragon,2025,Jun 2025 09,4.5,No,No,Yes,/film/how-to-train-your-dragon-2025/
The Devil's Advocate,1997,Jun 2025 08,4.0,No,No,No,/film/the-devils-advocate/
The Accountant²,2025,Jun 2025 08,2.0,No,No,Yes,/film/the-accountant-2025/
