Title,Year,Rating,Film_ID,Slug,Poster_URL,Film_URL,Has_Review,Movie_ID
The Map That Leads to You,2025,3.0,1193750,the-map-that-leads-to-you,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-map-that-leads-to-you/,Yes,1193750
Weapons,2025,4.0,972109,weapons-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/weapons-2025/,Yes,972109
My Oxford Year,2025,3.0,1188858,my-oxford-year,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/my-oxford-year/,Yes,1188858
The Bad Guys 2,2025,3.5,1062755,the-bad-guys-2,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-bad-guys-2/,Yes,1062755
The Naked Gun,2025,3.0,933381,the-naked-gun,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-naked-gun/,Yes,933381
The Fantastic Four: First Steps,2025,3.5,543967,the-fantastic-four-first-steps,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-fantastic-four-first-steps/,Yes,543967
I Know What You Did Last Summer,2025,2.5,976429,i-know-what-you-did-last-summer-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/i-know-what-you-did-last-summer-2025/,Yes,976429
Superman,2025,4.5,957050,superman-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/superman-2025/,Yes,957050
KPop Demon Hunters,2025,2.0,720953,kpop-demon-hunters,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/kpop-demon-hunters/,Yes,720953
28 Years Later,2025,4.0,992786,28-years-later,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/28-years-later/,Yes,992786
Jurassic World Rebirth,2025,2.5,1117926,jurassic-world-rebirth,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/jurassic-world-rebirth/,Yes,1117926
F1,2025,3.5,817977,f1,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/f1/,Yes,817977
Materialists,2025,2.5,1024562,materialists,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/materialists/,Yes,1024562
How to Train Your Dragon,2025,4.5,980116,how-to-train-your-dragon-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/how-to-train-your-dragon-2025/,Yes,980116
Echo Valley,2025,2.0,989122,echo-valley,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/echo-valley/,No,989122
Lost in Starlight,2025,4.0,1051324,lost-in-starlight,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/lost-in-starlight/,Yes,1051324
