Name,Year,Date
Weapons,2025,
The Wild Robot,2024,
When Evil Lurks,2023,
Past Lives,2023,
Puss in Boots: The Last Wish,2022,
Smile,2022,
DAHMER - Monster: The Jeffrey Dahmer Story,2022,
Pearl,2022,
The Batman,2022,
No Time to Die,2021,
All the Bright Places,2020,
Palm Springs,2020,
Watchmen,2019,
Joker,2019,
Ford v Ferrari,2019,
Marriage Story,2019,
Midsommar,2019,
Alita: Battle Angel,2019,
The Haunting of Hill House,2018,
Shoplifters,2018,
Us and Them,2018,
Hereditary,2018,
It,2017,
Valerian and the City of a Thousand Planets,2017,
Gifted,2017,
Batman: The Killing Joke,2016,
Your Name.,2016,
Zootopia,2016,
Big Hero 6,2014,
The Conjuring,2013,
Sinister,2012,
Scott Pilgrim vs. the World,2010,
How to Train Your Dragon,2010,
Cloudy with a Chance of Meatballs,2009,
The Dark Knight,2008,
How to Lose a Guy in 10 Days,2003,
The Ring,2002,
Minority Report,2002,
The Virgin Suicides,1999,
Ring,1998,
The Silence of the Lambs,1991,
