Name,Year,Rating
The Map That Leads to You,2025,3.0
Weapons,2025,4.0
My Oxford Year,2025,3.0
The Bad Guys 2,2025,3.5
The Naked Gun,2025,3.0
The Fantastic Four: First Steps,2025,3.5
I Know What You Did Last Summer,2025,2.5
Superman,2025,4.5
KPop Demon Hunters,2025,2.0
28 Years Later,2025,4.0
Jurassic World Rebirth,2025,2.5
F1,2025,3.5
Materialists,2025,2.5
How to Train Your Dragon,2025,4.5
Echo Valley,2025,2.0
Lost in Starlight,2025,4.0
Ballerina,2025,3.5
Fear Street: Prom Queen,2025,1.0
Lilo & Stitch,2025,3.0
Bring Her Back,2025,4.0
Mission: Impossible – The Final Reckoning,2025,2.0
Final Destination Bloodlines,2025,3.5
Until Dawn,2025,3.0
Thunderbolts*,2025,4.0
Sinners,2025,3.5
A Minecraft Movie,2025,1.5
The Life List,2025,3.0
A Working Man,2025,3.0
Adolescence,2025,4.0
Novocaine,2025,3.5
Clown in a Cornfield,2025,2.5
Black Bag,2025,4.0
The Accountant²,2025,2.0
Death of a Unicorn,2025,2.5
Mickey 17,2025,4.0
The Gorge,2025,3.0
My Fault: London,2025,1.0
Together,2025,3.0
The Ugly Stepsister,2025,3.5
Companion,2025,3.5
Your Fault,2024,3.0
Sonic the Hedgehog 3,2024,2.5
Carry-On,2024,3.5
Juror #2,2024,3.5
Venom: The Last Dance,2024,2.0
Gladiator II,2024,3.0
Smile 2,2024,4.0
Caddo Lake,2024,3.5
Weekend in Taipei,2024,2.0
Heretic,2024,4.0
The Wild Robot,2024,5.0
Transformers One,2024,4.0
The Life of Chuck,2024,3.5
We Live in Time,2024,4.0
Wolfs,2024,2.5
Babygirl,2024,2.0
Rebel Ridge,2024,2.5
The Union,2024,3.0
Borderlands,2024,2.5
It Ends with Us,2024,3.0
Deadpool & Wolverine,2024,3.5
Longlegs,2024,3.0
Twisters,2024,3.0
A Family Affair,2024,1.5
MaXXXine,2024,2.0
Inside Out 2,2024,3.5
Winter Spring Summer or Fall,2024,1.5
Anora,2024,2.5
The Substance,2024,4.5
Furiosa: A Mad Max Saga,2024,4.0
